Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0
Cyclic-1.03MB,1.0,1.0,1.0
Cyclic-1.54MB,1.0,0.0,0.7037037037037037
FaceDet-0.33MB,1.0,1.0,1.0
FaceDet-0.82MB,1.0,1.0,0.8271604938271605
FaceDet-1.54MB,1.0,0.6049382716049383,0.5061728395061729
High Resources - Low Resources-14.25MB,1.0,0.0,0.49382716049382713
High Resources - Low Resources-2.07MB,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,1.0,1.0
Homogeneous-0.49MB,1.0,1.0,1.0
Homogeneous-0.82MB,1.0,1.0,0.8024691358024691
Homogeneous-1.24MB,1.0,0.2222222222222222,0.6172839506172839
Long-Short-0.33MB,1.0,1.0,1.0
Long-Short-1.03MB,1.0,1.0,0.6790123456790124
Long-Short-1.24MB,1.0,0.48148148148148145,0.5432098765432098
Low Resources - High Resources-0.33MB,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,1.0,1.0
Low Resources - High Resources-1.54MB,1.0,0.0,0.41975308641975306
Random-0.33MB,1.0,1.0,1.0
Random-1.03MB,1.0,1.0,0.4691358024691358
Random-1.24MB,1.0,0.0,0.4074074074074074
LogPro-2.35MB,1.0,1.0,1.0
LogPro-54.27MB,1.0,1.0,1.0
LogPro-95.8MB,1.0,0.0,0.6774193548387096
Short Cyclic-0.49MB,1.0,1.0,1.0
Short Cyclic-0.82MB,1.0,1.0,0.9382716049382716
Short Cyclic-1.24MB,1.0,0.07407407407407407,0.7777777777777778
Short Homogeneous-0.49MB,1.0,1.0,1.0
Short Homogeneous-0.82MB,1.0,1.0,0.5432098765432098
Short Homogeneous-1.54MB,1.0,1.0,0.6172839506172839
Short-Long Random-14.25MB,1.0,0.0,0.41975308641975306
Short-Long Random-2.1MB,1.0,1.0,1.0
Short-Long Random-6.18MB,1.0,1.0,1.0
Short-Long-0.49MB,1.0,1.0,1.0
Short-Long-0.82MB,1.0,1.0,0.35802469135802467
Short-Long-1.54MB,1.0,0.9382716049382716,0.7530864197530864
Short Staircase-0.49MB,1.0,1.0,1.0
Short Staircase-0.82MB,1.0,1.0,1.0
Short Staircase-1.54MB,1.0,0.41975308641975306,0.48148148148148145
Staircase-0.33MB,1.0,1.0,1.0
Staircase-1.03MB,1.0,0.9876543209876543,0.9629629629629629
Staircase-1.54MB,1.0,0.0,0.25925925925925924
VidPro-227.85MB,1.0,1.0,0.7283950617283951
VidPro-40.3MB,1.0,1.0,1.0
VidPro-500.73MB,1.0,0.35802469135802467,0.3333333333333333
