Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0
Cyclic-1.03MB,1.0,0.691358024691358,1.0
Cyclic-1.54MB,1.0,0.0,0.0
FaceDet-0.33MB,0.9876543209876543,1.0,1.0
FaceDet-0.82MB,0.1111111111111111,1.0,0.7901234567901234
FaceDet-1.54MB,0.9506172839506173,0.20987654320987653,0.14814814814814814
High Resources - Low Resources-14.25MB,1.0,0.0,0.2535211267605634
High Resources - Low Resources-2.07MB,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,0.0,1.0
Homogeneous-0.49MB,1.0,1.0,1.0
Homogeneous-0.82MB,1.0,1.0,0.24691358024691357
Homogeneous-1.24MB,1.0,0.06172839506172839,0.0
Long-Short-0.33MB,1.0,1.0,1.0
Long-Short-1.03MB,1.0,1.0,0.4074074074074074
Long-Short-1.24MB,1.0,0.12345679012345678,0.0
Low Resources - High Resources-0.33MB,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,0.0,1.0
Low Resources - High Resources-1.54MB,1.0,0.0,0.14084507042253522
Random-14.34MB,1.0,0.04938271604938271,0.024691358024691357
Random-2.1MB,1.0,1.0,1.0
Random-6.18MB,1.0,0.8765432098765432,1.0
Staircase-0.33MB,1.0,1.0,1.0
Staircase-1.03MB,1.0,0.8641975308641975,0.8888888888888888
Staircase-1.54MB,1.0,0.0,0.20987654320987653
VidPro-227.85MB,0.654320987654321,1.0,0.6419753086419753
VidPro-40.3MB,1.0,1.0,1.0
VidPro-500.73MB,0.6172839506172839,0.0,0.0
