Workflow,ChunkFunc,SLAM,StepConf
Cyclic-0.49MB,1.0,1.0,1.0
Cyclic-1.03MB,1.0,0.9382716049382716,1.0
Cyclic-1.54MB,1.0,0.012345679012345678,0.12345679012345678
FaceDet-0.33MB,1.0,1.0,1.0
FaceDet-0.82MB,1.0,1.0,0.9382716049382716
FaceDet-1.54MB,0.9629629629629629,0.1728395061728395,0.25925925925925924
High Resources - Low Resources-14.25MB,0.7605633802816901,0.0,0.2112676056338028
High Resources - Low Resources-2.07MB,1.0,1.0,1.0
High Resources - Low Resources-6.16MB,1.0,0.8309859154929577,1.0
Homogeneous-0.49MB,1.0,1.0,0.3950617283950617
Homogeneous-0.82MB,1.0,1.0,0.9506172839506173
Homogeneous-1.24MB,1.0,0.0,0.0
Long-Short-0.33MB,1.0,1.0,0.37037037037037035
Long-Short-1.03MB,1.0,1.0,0.9259259259259259
Long-Short-1.24MB,0.9876543209876543,0.037037037037037035,0.0
Low Resources - High Resources-0.33MB,1.0,1.0,1.0
Low Resources - High Resources-1.03MB,1.0,0.8450704225352113,1.0
Low Resources - High Resources-1.54MB,1.0,0.0,0.30985915492957744
Random-14.34MB,1.0,0.0,0.3950617283950617
Random-2.1MB,1.0,1.0,1.0
Random-6.18MB,1.0,0.9012345679012346,1.0
Staircase-0.33MB,1.0,1.0,1.0
Staircase-1.03MB,1.0,0.9259259259259259,1.0
Staircase-1.54MB,1.0,0.0,0.345679012345679
VidPro-227.85MB,1.0,1.0,0.0
VidPro-40.3MB,1.0,1.0,1.0
VidPro-500.73MB,1.0,0.0,0.0
